iter	TotalF1	MultiClass
0	0.8341206816	1.056578615
1	0.8103026365	1.017576992
2	0.824832443	0.9856282788
3	0.8640309427	0.952210101
4	0.8609789376	0.9243067574
5	0.8577408707	0.8973612013
6	0.8547462166	0.8723968505
7	0.8572414227	0.8434552938
8	0.8602835391	0.8162757798
9	0.8698573578	0.7930763287
10	0.8668074422	0.7731052152
11	0.8792056432	0.7505831925
12	0.8822698934	0.7277978203
13	0.8822698934	0.7088353084
14	0.8824732929	0.6918347276
15	0.8824604777	0.6740186179
16	0.8824604777	0.6564988223
17	0.8794175265	0.6412371362
18	0.8794175265	0.62746216
19	0.8826627753	0.615915744
20	0.8826627753	0.6012152763
21	0.8826627753	0.5891770143
22	0.8889651287	0.576138238
23	0.8889651287	0.5655996843
24	0.8954315779	0.5550671925
25	0.8954315779	0.5435232658
26	0.8952640858	0.5321599585
27	0.8986562003	0.5205691165
28	0.8922013426	0.5117115036
29	0.8922013426	0.5036061193
30	0.8922013426	0.4941879474
31	0.8954315779	0.4866360875
32	0.9017292609	0.4794415158
33	0.8954315779	0.4709963163
34	0.898501243	0.4648146923
35	0.9017232393	0.4583002179
36	0.9082761766	0.4509100476
37	0.908161024	0.4441078652
38	0.9080335106	0.4384875003
39	0.908161024	0.4324621063
40	0.9082761766	0.4267145205
41	0.9113728134	0.4217662168
42	0.9082761766	0.4150000858
43	0.9114807575	0.4095791915
44	0.9082761766	0.405000161
45	0.9082761766	0.3992277297
46	0.9082761766	0.3948179134
47	0.9114807575	0.3909056649
48	0.9114807575	0.38633565
49	0.9114807575	0.3818060549
50	0.9114807575	0.3772226339
51	0.9082761766	0.3725733112
52	0.9082761766	0.367738748
53	0.9114807575	0.364005765
54	0.91458035	0.3602302236
55	0.91458035	0.3571664897
56	0.91458035	0.3534046832
57	0.91458035	0.3504263895
58	0.91458035	0.3473263321
59	0.9114807575	0.3437625962
60	0.91458035	0.339939446
61	0.91458035	0.3367361569
62	0.9114807575	0.3346005268
63	0.9114807575	0.3314717241
64	0.9114807575	0.3296309978
65	0.9146815706	0.3265088303
66	0.9146815706	0.3240409879
67	0.9146815706	0.3211148859
68	0.9146815706	0.3186474251
69	0.9146815706	0.3165355156
70	0.9146815706	0.3144205773
71	0.9115769076	0.3118830621
72	0.9115769076	0.3096020265
73	0.9115769076	0.3072698257
74	0.9146815706	0.304692962
75	0.9146815706	0.3027691088
76	0.9179631477	0.3002014839
77	0.924264981	0.2983540723
78	0.924264981	0.2961389391
79	0.9210733253	0.2938187616
80	0.9210733253	0.2911903658
81	0.9210733253	0.2894488881
82	0.9241810405	0.28711126
83	0.9241810405	0.2855360261
84	0.9241810405	0.2833650724
85	0.9241810405	0.2811314585
86	0.9305668142	0.2797768743
87	0.9337563649	0.2778703529
88	0.9337563649	0.2769205098
89	0.9337563649	0.2750117245
90	0.9337563649	0.2729437432
91	0.9369441656	0.2716563814
92	0.9369441656	0.2700944523
93	0.9369441656	0.2683241859
94	0.9369441656	0.2663742928
95	0.9369441656	0.2649961672
96	0.9369441656	0.2632298597
97	0.9369441656	0.2620396189
98	0.9369441656	0.260218472
99	0.9369441656	0.2583259601
100	0.9400584329	0.2565991689
101	0.9369441656	0.255074971
102	0.9369441656	0.2536982909
103	0.9369441656	0.2522180992
104	0.9369441656	0.2507987045
105	0.9369441656	0.2492948095
106	0.9369441656	0.2478130821
107	0.9369441656	0.2466638154
108	0.9369441656	0.2452435738
109	0.9369441656	0.2442063561
110	0.9400584329	0.2427018009
111	0.9369441656	0.2411099025
112	0.9369441656	0.2397812639
113	0.9400584329	0.2386129225
114	0.9369441656	0.237358495
115	0.9369441656	0.2361162342
116	0.9369441656	0.2350225222
117	0.9369441656	0.2339318389
118	0.9369441656	0.2331797833
119	0.9369441656	0.2322479763
120	0.9369441656	0.2309183405
121	0.9369441656	0.2300001647
122	0.9400584329	0.2287632952
123	0.9400584329	0.2269313954
124	0.9400584329	0.2261708748
125	0.9400584329	0.2247249117
126	0.9433159371	0.2235050025
127	0.9463949209	0.2226989134
128	0.9495805429	0.2217104917
129	0.9495250216	0.2204367456
130	0.9527122224	0.2191526141
131	0.9527122224	0.2185209499
132	0.9527122224	0.2173454959
133	0.9559064471	0.2160094917
134	0.9527122224	0.2149284882
135	0.9559064471	0.2137273782
136	0.9527122224	0.212137021
137	0.9527122224	0.2109384351
138	0.9527122224	0.2101643073
139	0.9527122224	0.2098952203
140	0.9527122224	0.2086337009
141	0.9557972748	0.2078956069
142	0.9557972748	0.2069660376
143	0.9589927305	0.206105111
144	0.9589927305	0.2052687793
145	0.9589927305	0.2044593826
146	0.9589927305	0.2038114781
147	0.9589927305	0.203158989
148	0.9589927305	0.2025272628
149	0.9589927305	0.2016908194
150	0.9589927305	0.2006219717
151	0.9589927305	0.1998690685
152	0.9589927305	0.1988937181
153	0.9589927305	0.1984642333
154	0.9589927305	0.1976312384
155	0.9589927305	0.1973525601
156	0.9589927305	0.1968470878
157	0.9589927305	0.195701246
158	0.9589927305	0.1951143153
159	0.9589927305	0.1940666064
160	0.9589927305	0.1933931141
161	0.9589927305	0.1928326351
162	0.9589927305	0.1921228447
163	0.9589927305	0.1912475753
164	0.9589927305	0.1904487599
165	0.9589927305	0.1894357087
166	0.9589927305	0.189085322
167	0.9589927305	0.1887730647
168	0.9589927305	0.1877085389
169	0.9589927305	0.1865840691
170	0.9589927305	0.18567744
171	0.9589927305	0.1850160025
172	0.9589927305	0.1841327856
173	0.9589927305	0.1829501422
174	0.9589927305	0.1821292081
175	0.9589927305	0.1812725874
176	0.9589927305	0.1803464679
177	0.9589927305	0.1797179021
178	0.9589927305	0.1792917032
179	0.9589927305	0.1784548366
180	0.9620722937	0.1780441765
181	0.9620722937	0.1777106227
182	0.9620722937	0.1771397363
183	0.9620722937	0.1763881719
184	0.9620722937	0.1757998482
185	0.9620722937	0.1753260199
186	0.9620722937	0.1747373034
187	0.9620722937	0.1743997799
188	0.9620722937	0.1737246245
189	0.9620722937	0.1729211205
190	0.9620722937	0.1721517086
191	0.9620722937	0.1716315281
192	0.9620722937	0.1712465504
193	0.9620722937	0.1709663725
194	0.9620722937	0.1702663993
195	0.9620722937	0.1697802631
196	0.9620722937	0.1693459812
197	0.9620722937	0.1685977352
198	0.9620722937	0.1683520364
199	0.9620722937	0.1678433588
200	0.9620722937	0.1673164984
201	0.9620722937	0.1670723529
202	0.9620722937	0.1666032752
203	0.9620722937	0.16581068
204	0.9620722937	0.1654137403
205	0.9620722937	0.1649139076
206	0.9620722937	0.1641090987
207	0.9620722937	0.1635768587
208	0.9620722937	0.1630615091
209	0.9620722937	0.1628515097
210	0.9620722937	0.1622150263
211	0.9620722937	0.1617381321
212	0.9620722937	0.1613087772
213	0.9620722937	0.1610572945
214	0.9620722937	0.1604829473
215	0.9620722937	0.1602596552
216	0.9620722937	0.1595580207
217	0.9620722937	0.1594042932
218	0.9620722937	0.1591392469
219	0.9620722937	0.158744615
220	0.9620722937	0.1582454611
221	0.9620722937	0.1577658154
222	0.9652274161	0.1575830317
223	0.9652274161	0.1574343097
224	0.9620722937	0.1569784206
225	0.9652274161	0.1565704876
226	0.9620722937	0.156138962
227	0.9620722937	0.1554538009
228	0.9620722937	0.1549124061
229	0.9652274161	0.1541910874
230	0.9652274161	0.1536255671
231	0.9652274161	0.153219837
232	0.9652274161	0.1530646821
233	0.9652274161	0.1527255112
234	0.9652274161	0.1524025978
235	0.9652274161	0.1518476232
236	0.9652274161	0.1512847597
237	0.9652274161	0.1510593964
238	0.9652274161	0.1507750712
239	0.9652274161	0.1501511873
240	0.9652274161	0.1498015971
241	0.9652274161	0.1495740649
242	0.9652274161	0.1491604313
243	0.9652274161	0.1485288123
244	0.9652274161	0.148082227
245	0.9652274161	0.147840334
246	0.9652274161	0.1474246106
247	0.9652274161	0.1469410344
248	0.9652274161	0.1467412765
249	0.9652274161	0.1461814
250	0.9652274161	0.1457909002
251	0.9652274161	0.145460414
252	0.9652274161	0.1452910729
253	0.9652274161	0.1449797635
254	0.9652274161	0.1446238356
255	0.9652274161	0.1441467909
256	0.9652274161	0.1436091843
257	0.9652274161	0.1431384687
258	0.9652274161	0.1428498938
259	0.9652274161	0.1425040075
260	0.9652274161	0.1423510087
261	0.9652274161	0.1418069256
262	0.9652274161	0.1412623861
263	0.9652274161	0.1409998159
264	0.9652274161	0.1407445896
265	0.9652274161	0.1404468598
266	0.9652274161	0.1400898939
267	0.9652274161	0.1398972061
268	0.9652274161	0.1396629588
269	0.9652274161	0.1392653451
270	0.9652274161	0.1390031717
271	0.9652274161	0.1387342017
272	0.9652274161	0.1384433072
273	0.9652274161	0.1382116317
274	0.9652274161	0.1378245104
275	0.9652274161	0.1371837005
276	0.9652274161	0.1369441844
277	0.9652274161	0.1365374183
278	0.9652274161	0.1363943245
279	0.9652274161	0.1360477289
280	0.9652274161	0.135790544
281	0.9652274161	0.1355027221
282	0.9652274161	0.135042781
283	0.9652274161	0.134838745
284	0.9652274161	0.1344622643
285	0.9652274161	0.1341880564
286	0.9652274161	0.1338977833
287	0.9652274161	0.1337920799
288	0.9652274161	0.1334785338
289	0.9652274161	0.133115189
290	0.9652274161	0.1330263927
291	0.9652274161	0.132695982
292	0.9652274161	0.1324991723
293	0.9652274161	0.1321934003
294	0.9683807622	0.1319428525
295	0.9683807622	0.1315299737
296	0.9683544304	0.1312722248
297	0.9683544304	0.1310575022
298	0.9683544304	0.1306707062
299	0.9683807622	0.1303875469
300	0.9683807622	0.1300063379
301	0.9683807622	0.1296652521
302	0.9683544304	0.1295093373
303	0.9683544304	0.1294519379
304	0.9683544304	0.1292296166
305	0.9683544304	0.1290864041
306	0.9683544304	0.1289499753
307	0.9683544304	0.1288466181
308	0.9683544304	0.128651784
309	0.9683544304	0.1285096858
310	0.9683544304	0.1280544716
311	0.9683544304	0.1278398605
312	0.9683544304	0.1275635556
313	0.9683544304	0.1273298147
314	0.9683544304	0.1271005729
315	0.9683807622	0.1269713802
316	0.9683807622	0.1268593117
317	0.9683807622	0.1266600028
318	0.9683807622	0.1264169803
319	0.9683544304	0.126194115
320	0.9683544304	0.1258517145
321	0.9683807622	0.1256616371
322	0.9683807622	0.1255001639
323	0.9683807622	0.1252612395
324	0.9683807622	0.1252067562
325	0.9683807622	0.1249555956
326	0.9683807622	0.1248182979
327	0.9683807622	0.1246737508
328	0.9683807622	0.1244146393
329	0.9683807622	0.1241259364
330	0.9683807622	0.1239086193
331	0.9683807622	0.1237017074
332	0.9683544304	0.1234721661
333	0.9683544304	0.1233941707
334	0.9683544304	0.1232965418
335	0.9683544304	0.1231255172
336	0.9683544304	0.1228864673
337	0.9683544304	0.1226185767
338	0.9683807622	0.1225567053
339	0.9683544304	0.1223491238
340	0.9683544304	0.1221696661
341	0.9683544304	0.1218272706
342	0.9683544304	0.1214909801
343	0.9683544304	0.1212777058
344	0.9683544304	0.1210336739
345	0.9683544304	0.1207696477
346	0.9683544304	0.120451004
347	0.9683544304	0.1201411877
348	0.9683544304	0.1199146159
349	0.9683544304	0.1197909417
350	0.9683544304	0.1195334073
351	0.9683544304	0.1193869428
352	0.9683544304	0.1192575919
353	0.9683544304	0.1190602955
354	0.9683544304	0.1189050102
355	0.9683544304	0.1187232747
356	0.9683544304	0.1185447664
357	0.9683544304	0.1183661465
358	0.9683544304	0.1182724127
359	0.9683544304	0.1181557372
360	0.9683544304	0.118038573
361	0.9683544304	0.1179931781
