iter	Passed	Remaining
0	144	72100
1	224	55813
2	261	43277
3	294	36467
4	325	32213
5	355	29303
6	387	27292
7	422	25954
8	457	24947
9	493	24175
10	528	23516
11	567	23094
12	603	22623
13	640	22224
14	676	21879
15	744	22531
16	784	22295
17	818	21913
18	860	21792
19	938	22529
20	991	22621
21	1040	22605
22	1093	22668
23	1136	22536
24	1180	22428
25	1226	22351
26	1290	22605
27	1376	23200
28	1433	23283
29	1487	23301
30	1529	23139
31	1578	23088
32	1632	23107
33	1694	23231
34	1782	23681
35	1997	25744
36	2095	26225
37	2185	26574
38	2268	26812
39	2346	26989
40	2407	26948
41	2481	27064
42	2529	26886
43	2582	26763
44	2624	26532
45	2663	26286
46	2700	26026
47	2743	25839
48	2780	25588
49	2818	25370
50	2856	25144
51	2891	24907
52	2922	24650
53	2956	24415
54	2996	24246
55	3040	24103
56	3080	23941
57	3113	23726
58	3148	23536
59	3183	23345
60	3218	23160
61	3253	22983
62	3285	22790
63	3316	22592
64	3346	22396
65	3377	22208
66	3408	22027
67	3438	21846
68	3473	21694
69	3504	21526
70	3534	21358
71	3566	21203
72	3598	21051
73	3628	20890
74	3661	20747
75	3693	20607
76	3736	20528
77	3771	20402
78	3802	20264
79	3836	20142
80	3874	20040
81	3910	19932
82	3942	19806
83	3979	19706
84	4022	19640
85	4066	19575
86	4111	19519
87	4150	19432
88	4189	19346
89	4230	19271
90	4268	19184
91	4307	19102
92	4346	19021
93	4382	18929
94	4421	18849
95	4459	18766
96	4492	18664
97	4524	18561
98	4557	18459
99	4590	18361
100	4622	18261
101	4655	18163
102	4692	18085
103	4731	18015
104	4762	17916
105	4798	17836
106	4836	17764
107	4867	17668
108	4907	17604
109	4941	17518
110	4972	17426
111	5003	17334
112	5038	17254
113	5071	17173
114	5105	17092
115	5151	17053
116	5198	17016
117	5243	16975
118	5286	16925
119	5346	16929
120	5391	16888
121	5455	16903
122	5500	16858
123	5544	16812
124	5586	16759
125	5626	16700
126	5666	16643
127	5704	16580
128	5747	16529
129	5784	16463
130	5817	16386
131	5851	16312
132	5891	16256
133	5927	16190
134	5961	16116
135	5995	16047
136	6032	15983
137	6063	15905
138	6099	15841
139	6141	15792
140	6179	15733
141	6217	15674
142	6255	15617
143	6291	15554
144	6327	15490
145	6363	15430
146	6403	15376
147	6442	15323
148	6484	15275
149	6522	15219
150	6559	15160
151	6593	15094
152	6626	15028
153	6658	14961
154	6697	14907
155	6738	14860
156	6774	14801
157	6807	14736
158	6841	14673
159	6871	14602
160	6903	14536
161	6935	14470
162	6968	14406
163	7001	14343
164	7031	14275
165	7060	14206
166	7092	14142
167	7122	14076
168	7153	14010
169	7183	13945
170	7215	13882
171	7247	13821
172	7279	13760
173	7311	13699
174	7343	13637
175	7374	13576
176	7406	13516
177	7439	13457
178	7473	13401
179	7506	13344
180	7542	13292
181	7577	13240
182	7610	13183
183	7652	13142
184	7693	13098
185	7740	13068
186	7774	13013
187	7804	12952
188	7836	12895
189	7869	12839
190	7902	12785
191	7933	12726
192	7965	12670
193	7998	12615
194	8030	12559
195	8058	12499
196	8089	12442
197	8120	12385
198	8153	12333
199	8186	12280
200	8217	12223
201	8249	12169
202	8280	12115
203	8311	12059
204	8343	12006
205	8375	11953
206	8407	11900
207	8440	11849
208	8473	11797
209	8503	11742
210	8538	11694
211	8570	11642
212	8602	11590
213	8635	11540
214	8668	11490
215	8700	11439
216	8736	11393
217	8752	11321
218	8786	11274
219	8819	11225
220	8852	11176
221	8885	11126
222	8918	11077
223	8948	11026
224	8984	10980
225	9017	10932
226	9047	10880
227	9079	10831
228	9110	10781
229	9142	10732
230	9174	10683
231	9206	10635
232	9236	10584
233	9267	10534
234	9298	10485
235	9328	10435
236	9358	10385
237	9390	10337
238	9406	10272
239	9438	10225
240	9469	10177
241	9501	10129
242	9534	10083
243	9566	10037
244	9597	9989
245	9629	9942
246	9660	9894
247	9690	9846
248	9722	9800
249	9754	9754
250	9786	9708
251	9818	9662
252	9849	9616
253	9881	9570
254	9911	9523
255	9956	9489
256	9992	9447
257	10024	9402
258	10056	9357
259	10090	9314
260	10124	9271
261	10155	9225
262	10187	9180
263	10220	9136
264	10251	9090
265	10285	9048
266	10316	9002
267	10350	8960
268	10385	8918
269	10422	8878
270	10454	8834
271	10490	8793
272	10530	8756
273	10567	8716
274	10598	8671
275	10638	8634
276	10674	8593
277	10709	8552
278	10743	8510
279	10783	8472
280	10819	8432
281	10851	8388
282	10890	8350
283	10932	8314
284	10967	8273
285	10997	8228
286	11035	8190
287	11071	8149
288	11100	8104
289	11133	8062
290	11163	8017
291	11193	7973
292	11223	7929
293	11254	7885
294	11283	7841
295	11314	7797
296	11344	7753
297	11377	7712
298	11410	7670
299	11442	7628
300	11473	7585
301	11506	7543
302	11537	7501
303	11568	7458
304	11599	7416
305	11631	7374
306	11661	7330
307	11696	7291
308	11728	7249
309	11761	7208
310	11793	7167
311	11826	7126
312	11857	7083
313	11887	7041
314	11917	6999
315	11948	6957
316	11979	6915
317	12010	6873
318	12040	6831
319	12072	6790
320	12103	6749
321	12133	6707
322	12166	6666
323	12196	6625
324	12228	6584
325	12259	6543
326	12294	6504
327	12326	6464
328	12361	6425
329	12395	6385
330	12429	6346
331	12465	6307
332	12500	6269
333	12536	6230
334	12571	6191
335	12607	6153
336	12642	6115
337	12682	6078
338	12715	6038
339	12747	5998
340	12778	5958
341	12810	5918
342	12840	5877
343	12872	5837
344	12901	5796
345	12932	5756
346	12964	5716
347	12995	5676
348	13026	5636
349	13057	5596
350	13087	5555
351	13119	5516
352	13151	5476
353	13182	5437
354	13213	5397
355	13245	5357
356	13276	5317
357	13306	5277
358	13338	5238
359	13370	5199
360	13400	5159
361	13430	5119
362	13463	5081
363	13495	5042
364	13529	5004
365	13567	4967
366	13600	4928
367	13632	4889
368	13670	4853
369	13708	4816
370	13741	4777
371	13778	4740
372	13815	4704
373	13848	4665
374	13881	4627
375	13919	4590
376	13955	4553
377	13985	4513
378	14021	4476
379	14055	4438
380	14087	4400
381	14122	4362
382	14154	4324
383	14186	4285
384	14222	4248
385	14254	4209
386	14285	4171
387	14318	4133
388	14349	4094
389	14383	4056
390	14417	4019
391	14450	3981
392	14481	3942
393	14513	3904
394	14545	3866
395	14579	3828
396	14612	3791
397	14650	3754
398	14682	3716
399	14723	3680
400	14760	3644
401	14793	3606
402	14826	3568
403	14861	3531
404	14893	3493
405	14925	3455
406	14962	3418
407	14996	3381
408	15028	3343
409	15062	3306
410	15093	3268
411	15124	3230
412	15159	3193
413	15198	3157
414	15229	3119
415	15268	3083
416	15298	3045
417	15329	3007
418	15358	2969
419	15389	2931
420	15423	2894
421	15458	2857
422	15490	2819
423	15523	2782
424	15558	2745
425	15591	2708
426	15625	2671
427	15660	2634
428	15692	2597
429	15724	2559
430	15757	2522
431	15789	2485
432	15824	2448
433	15861	2412
434	15892	2374
435	15925	2337
436	15960	2300
437	15992	2263
438	16023	2226
439	16058	2189
440	16089	2152
441	16121	2115
442	16155	2078
443	16188	2041
444	16220	2004
445	16252	1967
446	16283	1930
447	16312	1893
448	16343	1856
449	16374	1819
450	16403	1782
451	16433	1745
452	16466	1708
453	16496	1671
454	16526	1634
455	16559	1597
456	16588	1560
457	16620	1524
458	16651	1487
459	16687	1451
460	16718	1414
461	16749	1377
462	16781	1341
463	16812	1304
464	16841	1267
465	16887	1232
466	16918	1195
467	16950	1158
468	16980	1122
469	17009	1085
470	17041	1049
471	17071	1012
472	17103	976
473	17133	939
474	17163	903
475	17194	866
476	17226	830
477	17257	794
478	17289	757
479	17320	721
480	17351	685
481	17382	649
482	17413	612
483	17444	576
484	17474	540
485	17505	504
486	17534	468
487	17566	431
488	17599	395
489	17637	359
490	17669	323
491	17705	287
492	17741	251
493	17771	215
494	17808	179
495	17846	143
496	17877	107
497	17912	71
498	17949	35
499	17983	0
