asset,gap,pred_next_vwap,true_next_vwap
BNB,1m,702.6416119790077,
BTC,1m,46787.324470214844,
ETH,1m,17962.388562011718,
BNB,3m,806.8271621632576,
BTC,3m,57136.82856445313,
ETH,3m,17089.783295898436,
BNB,5m,832.9175312626362,
BTC,5m,34547.095732421876,
ETH,5m,11827.430913085938,
BNB,15m,889.4999236369133,
BTC,15m,90577.152734375,
ETH,15m,25761.989724121093,
BNB,30m,623.7263364076614,
BTC,30m,69371.78834960937,
ETH,30m,44942.44107666016,
BNB,1h,834.5333188414573,
BTC,1h,78437.17486572266,
ETH,1h,61907.99535644531,
BNB,2h,7407.480630493164,
PAXG,2h,3840.7884479665754,
BTC,2h,83871.36989990235,
ETH,2h,39201.595668945316,
BNB,4h,15128.504342041015,
PAXG,4h,3929.7244864058493,
BTC,4h,85786.13350097656,
ETH,4h,15356.885173339844,
BNB,6h,14464.935475463868,
PAXG,6h,3837.855946855545,
BTC,6h,87835.79577880859,
ETH,6h,40834.94792160034,
BNB,8h,5954.954349609613,
PAXG,8h,3045.102744655609,
BTC,8h,61141.22271484375,
ETH,8h,2859.8604307341575,
BNB,12h,15406.355545783043,
PAXG,12h,3856.0043801879883,
BTC,12h,79978.80423828126,
ETH,12h,13513.073007049561,
PAXG,1d,638.6653723144532,
BNB,1d,3000.055328979492,
BTC,1d,4851.09951171875,
WBTC,1d,88.76838641166687,
ETH,1d,3509.1102728271485,
WBETH,1d,331.11709397435186,
PAXG,1w,1035.2920354437829,
BNB,1w,3645.315926513672,
BTC,1w,5938.238798828125,
WBTC,1w,32488.72418851018,
WBETH,1w,28927.46316283822,
YFI,1w,12207.891945211888,
ETH,1w,4714.689670410156,
PAXG,1M,1053.5412899303437,
BNB,1M,1543.5725469970703,
ETH,1M,5779.470727539063,
BTC,1M,82592.49081787109,
YFI,1M,7674.770184063911,
WBTC,1M,29147.904165916443,
WBETH,1M,19680.972919609547,
YFI,1d,12216.72398694396,
WBTC,2h,24551.866082072258,
WBTC,4h,22735.244063785078,
WBTC,6h,39060.46599496961,
WBTC,8h,39044.764065902236,
WBTC,12h,39063.11328586697,
WBETH,8h,11009.847661132813,
WBETH,2h,10998.764855957032,
WBETH,4h,11006.27367919922,
WBETH,6h,11001.782692871093,
WBETH,12h,11870.272814941407,
ZEC,1m,343.07832207679746,
TAO,1m,245.68137244701384,
DASH,1m,23.98596762895584,
FIL,1m,15.804450991153717,
ZEN,1m,35.01343020796776,
XRP,1m,2.078471794128418,
SOL,1m,145.4953771972656,
VIRTUAL,1m,104.60649687170982,
BCH,1h,513.4619782984257,
ZEC,1h,314.6608144044876,
SOL,1h,133.00231265068055,
TAO,30m,268.5763264298439,
SOL,30m,135.33535552978515,
ZEC,30m,329.2370454609394,
TAO,1h,101.71573343038558,
BCH,15m,441.2421007668972,
TAO,15m,174.83337863445283,
SOL,15m,133.50463901758195,
ZEC,15m,287.6361239898205,
TAO,5m,188.52275507688523,
SOL,5m,139.49239243030547,
ZEC,5m,370.95351563692094,
ICP,5m,17.114764677286146,
DASH,5m,34.57533653259277,
ZEN,5m,26.66863335967064,
XRP,5m,10.996195747852326,
LTC,5m,178.25065763473512,
ICP,3m,20.20455397963524,
DASH,3m,35.102394367456434,
ZEN,3m,21.10742977142334,
XRP,3m,12.107184736728668,
TAO,3m,242.1093770956993,
SOL,3m,134.5398324584961,
LTC,3m,136.15060500383376,
ZEC,3m,346.4086366534233,
ICP,1m,17.73756634235382,
LTC,1m,164.96917187690735,
ICP,15m,14.830037804841995,
DASH,15m,43.93048564076424,
